Company,ADANI ENTERPRISES,ADANI PORTS & SEZ,APOLLO HOSPITALS,ASIAN PAINTS,AXIS BANK,BAJAJ AUTO,BAJAJ FINANCE,BAJAJ FINSERV,BHARAT ELECTRONICS,BHARTI AIRTEL,BPCL,CIPLA,COAL INDIA,DR. REDDYS LAB,EICHER MOTORS,GRASIM,HCL TECHNOLOGIES,HDFC BANK,HDFC LIFE INSURANCE,HERO MOTOCORP,HINDALCO,HINDUSTAN UNILEVER,ICICI BANK,INDUSIND BANK,INFOSYS,ITC,JSW STEEL,KOTAK MAHINDRA BANK,L&T,M&M,MARUTI SUZUKI,NESTLE,NTPC,ONGC,POWER GRID,RELIANCE IND.,SBI,SBI LIFE INSURANCE,SHRIRAM FINANCE,SUN PHARMA,TATA CONSUMER,TATA MOTORS,TATA STEEL,TCS,TECH MAHINDRA,TITAN,TRENT,ULTRATECH CEMENT,WIPRO
DR. REDDYS LAB,0.1645525571656566,0.16097816430814696,0.23545520347253432,0.14995156497342424,0.09146483878047804,0.10490384979560373,0.08830402480388055,0.2577575212407946,0.13148634748737176,0.17810579227069076,0.17970825899222642,0.41228528237800594,0.17956714105605198,1.0,0.13806406119194134,0.2526075816196403,0.2297155080045738,0.1394204564450848,0.12261854904222506,0.14106464459160248,0.20756360947774752,0.16335783263769071,0.03475377715842901,0.08661369517393724,0.24261883269712012,0.18601515907378413,0.24428374318790344,-0.04989878233210442,0.1251106020415336,0.22760269670494937,0.13839337961081433,-0.03178511107638309,0.20917101945201802,0.18092333473631428,0.19056040906757254,0.1602951339216335,0.13820336462824806,0.20465807653711543,0.14123492137714586,0.3966895749392437,0.11061870892317309,0.2001304963391382,0.2072254106636874,0.2232172032384517,0.22002636769895148,0.13999213338190478,0.16888305215670066,0.251565562693647,0.2798449469284079
EICHER MOTORS,0.3316437791536992,0.2696231604629611,0.29035846622552125,0.2578871379932234,0.2861659138714063,0.2761625758932489,0.1895645091912414,0.24135626431048482,0.28425113564226157,0.2947664897259383,0.24661404921528152,0.08200028903899136,0.295223031531244,0.13806406119194134,1.0,0.37886301876080974,0.17763830624679627,0.2864163890245675,0.23608382662319488,0.2701504461607532,0.2763379222192327,0.12002499749240217,0.3513281722356701,0.26778075850565,0.13273915110881232,0.26278605815328976,0.3291822872413968,0.24032140929918058,0.33728624218988934,0.3555160910239051,0.3885928774602024,-0.044161076185979094,0.2709549274959588,0.2402059423674321,0.21487498793199902,0.3360709776683885,0.31465094969719626,0.31185500609942257,0.36567606807348574,0.1753217349658259,0.1723820449922679,0.3166323599863254,0.3145033592775377,0.14379229137368715,0.189602405003888,0.2682065721830516,0.23468450216108638,0.3042638082085396,0.2622545771179957
GRASIM,0.3444656457305796,0.35611184636522036,0.2582017264327686,0.34442798580838047,0.36705621639300695,0.2006917050812174,0.36896614717090864,0.43509706867610926,0.33794716355847443,0.2972192850078165,0.3482649621867646,0.1675698435739521,0.28139038018748774,0.2526075816196403,0.37886301876080974,1.0,0.15889062061958248,0.30060918453371255,0.25409804343984926,0.2873476705925085,0.437199871538395,0.16763105783465942,0.4052791497629452,0.3423695542896739,0.1833653561505381,0.2786787493556313,0.5078841372426902,0.24638194287695,0.3539065349785146,0.308178075869659,0.2957750282000123,-0.07589099510250208,0.39940415525270245,0.32579400477118764,0.35892687662143236,0.4028235277010485,0.4305922247085058,0.25050045890672346,0.35806303463928296,0.21815242671774182,0.28299932837578373,0.33631479377349244,0.46364826789377406,0.17995653046577442,0.1751312596291996,0.3682972790982091,0.2415062100604539,0.5901263560130556,0.2450190864800845
HCL TECHNOLOGIES,0.13991523581484516,0.1526575017030534,0.2792044115107228,0.11745511129671725,0.10750458735792959,0.12456351136264317,0.1831703337114507,0.26782564286994776,0.22407746093906422,0.2584788583968466,0.1390857283846603,0.0545870709838886,0.18765438086088077,0.2297155080045738,0.17763830624679627,0.15889062061958248,1.0,0.044941212931343455,0.1275954075161674,0.13204161088213331,0.25396745172698987,0.12318351796490512,0.10754911818805347,0.12186835460879182,0.6897477738880583,0.1778613284747327,0.2552232117931818,0.12301387225345875,0.22497102833922902,0.1981167273687454,0.21403253028427258,0.07761187456037826,0.16271238145325845,0.21938891370746494,0.11702756999558567,0.2766337164197833,0.21273081039385988,0.2080664261037537,0.23309894013392904,0.15614707984037624,0.20954670843809545,0.26934944527342164,0.26872485033501714,0.6290844604151489,0.5482953061093628,0.19944228632503083,0.20747966609711346,0.20546839975759784,0.5806791761018419
HDFC BANK,0.33811781037925426,0.3753103884380282,0.11024901378550364,0.2643102059016017,0.4249330193868059,0.18224778935032104,0.3316256057689474,0.3187062698827385,0.3307610003665849,0.21104270777622802,0.23439091301459897,-0.03212492239543003,0.2693853829456856,0.1394204564450848,0.2864163890245675,0.30060918453371255,0.044941212931343455,1.0,0.22183154826717424,0.10771196763493132,0.2620634843914795,0.07931350947464832,0.4334386322139627,0.3666140526005509,0.11002596588703205,0.16706907477754512,0.3692723843086891,0.42330710238425434,0.34548600409519326,0.33108446398285146,0.23815099509457058,0.02896796008742471,0.33897220732928435,0.28061665916078926,0.3140245712325951,0.31381636455337014,0.3576208952121753,0.21236658718030865,0.33318351362941745,0.07183987376184428,0.10865831821217213,0.20499344264477543,0.3807672502582221,0.045294415187519234,0.2046776386541923,0.18802246136549106,0.10276224043209538,0.36021694883310873,0.1936088324695347
HDFC LIFE INSURANCE,0.2168396834622885,0.2470629790842552,0.14167540860067548,0.2060146456771507,0.2514807554432242,0.19190828772263524,0.3070971766025089,0.3473512250725722,0.2513070069628718,0.2150376709803914,0.17914831807159234,0.0870511313888714,0.2112692257418286,0.12261854904222506,0.23608382662319488,0.25409804343984926,0.1275954075161674,0.22183154826717424,1.0,0.2176031706514299,0.20192503181646407,0.13667045565834446,0.19820933406286892,0.18167088083466026,0.07307410277469194,0.19739142929919837,0.258025408787773,0.20954546445532776,0.2580634934366813,0.21134754329235445,0.24993297424384944,0.02812316934838477,0.2066667626536933,0.20544893951838866,0.11652795650534749,0.22170445626825863,0.21971198292593852,0.5965504554264889,0.3049251635561086,0.1685258527303546,0.2143093858540695,0.2241696033242599,0.27517863663351017,0.1154541517951745,0.11953585532945821,0.2266234917903594,0.20213393816247846,0.2418241491164279,0.1942657013212274
HERO MOTOCORP,0.20857466024233823,0.20252782159769023,0.24817637482304175,0.18015812780122278,0.17258941521280763,0.4068308018701712,0.1712237612820766,0.23621152518328709,0.08781185047450502,0.18395488260351425,0.2290417603622672,0.14834244865986473,0.2515908454651153,0.14106464459160248,0.2701504461607532,0.2873476705925085,0.13204161088213331,0.10771196763493132,0.2176031706514299,1.0,0.23205506997808623,0.20605085935074596,0.1416855016278177,0.20330581507037893,0.10454388231637121,0.1086836905486761,0.21257078018750683,0.14548942058332157,0.20070680886363249,0.3608741122585558,0.2941164528509454,-0.09936496513143404,0.14861104571100592,0.19715098203589407,0.13765657373884507,0.2443479365252122,0.1367153752191374,0.20196300520520052,0.2575030737463598,0.22050340791212986,0.21235786896295858,0.29076037643800406,0.28777884603381115,0.10868431775013981,0.11127234244865507,0.30247949209907055,0.21859877241124986,0.29540514696349923,0.2046061118263733
HINDALCO,0.3049654933426102,0.3377699888772664,0.06256527592884902,0.21223456625126932,0.2273791449321508,0.2168829502851914,0.25452907399853647,0.29624245769355884,0.37588655471374904,0.2941694857603527,0.3469753945128453,0.0977694437290788,0.38795553723697274,0.20756360947774752,0.2763379222192327,0.437199871538395,0.25396745172698987,0.2620634843914795,0.20192503181646407,0.23205506997808623,1.0,0.0753606525419739,0.17667098987519633,0.2791230132032512,0.17840593667735413,0.1455105536720955,0.6093612875336756,0.20274375801956068,0.33080568491271245,0.297220250377757,0.28618881588977335,-0.08122453774355283,0.3584552634689343,0.4098300258387942,0.3761009720620949,0.33165687572960456,0.34059506843132614,0.17900208727740555,0.3171279271751992,0.2544483175326168,0.18098120531159775,0.36496684774192,0.630100506261502,0.16105521918662924,0.23640254338656347,0.2494396502142401,0.2686543652895047,0.3136031535540689,0.26225728575529006
HINDUSTAN UNILEVER,-0.0007955849132371898,0.0023762139765625425,0.10786489249838734,0.26988605569276,0.009843455679323265,0.1249526110483977,0.1274327553973016,0.1394541208676313,-0.058288178157353,0.15852697272327756,-0.0014975404799308775,0.04207388075743701,-0.03812925650316162,0.16335783263769071,0.12002499749240217,0.16763105783465942,0.12318351796490512,0.07931350947464832,0.13667045565834446,0.20605085935074596,0.0753606525419739,1.0,0.0009927926622437047,0.08184098655623644,0.1641709919637137,0.3250498836568804,0.1414577182026751,0.16670616610267677,0.02498700563957291,0.13020279394420212,0.1480396382304936,-0.008354242551711735,-0.047523459189009555,-0.016745982935907566,-0.07778868578459663,0.09257306828100051,-0.059932117027079235,0.26115563608939285,0.032936744497039545,0.051338253740938145,0.4120706818011407,0.08802430834253995,0.08473446083827732,0.14534452981655602,0.1313119202736709,0.18747674199044165,0.08396059704140256,0.1651248300884603,0.1854236990101637
ICICI BANK,0.3945805978025968,0.44229783313857474,0.16432535529782769,0.1588151249577102,0.6367850599634499,0.10856115317752063,0.3499918381864611,0.41541684051779526,0.31376062277599637,0.36663716060905677,0.22721483105203857,0.08176385805802783,0.24862434753348048,0.03475377715842901,0.3513281722356701,0.4052791497629452,0.10754911818805347,0.4334386322139627,0.19820933406286892,0.1416855016278177,0.17667098987519633,0.0009927926622437047,1.0,0.3557482532634335,0.20051755339072608,0.3148975182134029,0.38038075742375593,0.4440733427422391,0.4187118777837459,0.3153253720449536,0.23161544990412153,-0.013961861085349813,0.3585109302424859,0.27788559783716255,0.2980870299743992,0.3965270343843463,0.517229383428301,0.2133838424181861,0.44989111827184947,0.2027612854282786,0.12059982138864889,0.19968796562692898,0.34528353328624944,0.16650365750924276,0.16867856442869336,0.14647715568071762,0.12171048578785111,0.4302236203713844,0.22167437874711574
INDUSIND BANK,0.3913434063772981,0.4224149798152875,0.12913270007561192,0.18086531935342479,0.3396527799039979,0.20608192710205683,0.4062697255317033,0.42295499921665397,0.30857409114326295,0.23160014002035745,0.35691132959848804,0.04642657524281433,0.3436755413799175,0.08661369517393724,0.26778075850565,0.3423695542896739,0.12186835460879182,0.3666140526005509,0.18167088083466026,0.20330581507037893,0.2791230132032512,0.08184098655623644,0.3557482532634335,1.0,0.11122822962624675,0.17530326627438145,0.4027202549533484,0.32607996737011047,0.42209193657377303,0.3521668252593311,0.3047918283239354,-0.10342640854145585,0.44613526681960014,0.323126690102692,0.33034258287572477,0.39556499635567066,0.4521546797298798,0.22187158548390054,0.4344077341135551,0.12288323552569672,0.2735420372900271,0.3333438848231146,0.39624906141463573,0.08557793011942878,0.10313321695607461,0.24042883991023634,0.19907312306938477,0.34504234637201675,0.1865544218344185
INFOSYS,0.11514954042896382,0.1494123145980719,0.12169089012038463,0.10429124881721284,0.08647391865122532,-0.0034503068358840735,0.19743554768512517,0.2413487457830405,0.16473155310722445,0.28887118942872475,0.1265641808364673,0.06320153182603365,0.11753697008936852,0.24261883269712012,0.13273915110881232,0.1833653561505381,0.6897477738880583,0.11002596588703205,0.07307410277469194,0.10454388231637121,0.17840593667735413,0.1641709919637137,0.20051755339072608,0.11122822962624675,1.0,0.2075175893983841,0.21742978870608332,0.16981604266840228,0.23420904607916299,0.23402737670257365,0.12260039205713129,0.05686135519188142,0.11937041179308618,0.22818716441548115,0.09216811506163647,0.1994843779017805,0.1782058726636124,0.1649442890222077,0.171002170991282,0.14310500855367606,0.24519777303639798,0.18172275284021047,0.1809599286880819,0.7078882279247001,0.6491538980120559,0.21507430570064945,0.1510314278333633,0.22458222531139088,0.5712166077641788
ITC,0.2458031299797866,0.2737779354873751,0.17405174181423697,0.2755417718758033,0.27500275436107036,0.14042226693943394,0.30439950163275276,0.30363673608292885,0.23020091171130044,0.26052005790245747,0.1815775295211121,0.12774965914049352,0.24419433352743372,0.18601515907378413,0.26278605815328976,0.2786787493556313,0.1778613284747327,0.16706907477754512,0.19739142929919837,0.1086836905486761,0.1455105536720955,0.3250498836568804,0.3148975182134029,0.17530326627438145,0.2075175893983841,1.0,0.3100127985393799,0.24061480248061576,0.24946821375128186,0.19625279516772007,0.2505914205538365,0.0007734908332989788,0.23571335954603237,0.19606396419031857,0.13534077711036013,0.29556892475188357,0.2630363892339611,0.2075145737746437,0.23581043369849305,0.18700232375525966,0.3026566251360456,0.1885681105607563,0.2572710378356823,0.15227861703147091,0.21782118008294368,0.31826214934329955,0.15150067812171225,0.26014923117649846,0.2331445155017262
JSW STEEL,0.4056628974656083,0.43461227297523736,0.27607215931119483,0.33354860032973715,0.36596955543297477,0.22348056070092753,0.39092469579774497,0.44752569518703555,0.45879405415291485,0.36484433288581436,0.36643661059870325,0.16160972184561465,0.4400462117810423,0.24428374318790344,0.3291822872413968,0.5078841372426902,0.2552232117931818,0.3692723843086891,0.258025408787773,0.21257078018750683,0.6093612875336756,0.1414577182026751,0.38038075742375593,0.4027202549533484,0.21742978870608332,0.3100127985393799,1.0,0.3053690041032291,0.49248533634181135,0.4181385997538942,0.3703474715013141,0.009317404881764003,0.5103684031778734,0.441198829665502,0.4560627761906722,0.4223743001822957,0.450887317853805,0.23089733380244296,0.4159749641677473,0.2522412044661254,0.23553685964897828,0.40871951927540506,0.7941892407101142,0.20930086610543558,0.2690021880072743,0.32212865938241697,0.25699852573961274,0.5466506066321098,0.360384099082683
KOTAK MAHINDRA BANK,0.2437522708283246,0.30583902681730674,0.1397970440228574,0.18119815429045572,0.29203991929725426,0.08263086545015132,0.31590225072517397,0.27310438907253376,0.26651207432664875,0.31898526062189647,0.1557539650335256,0.03624718224100534,0.22894477223370466,-0.04989878233210442,0.24032140929918058,0.24638194287695,0.12301387225345875,0.42330710238425434,0.20954546445532776,0.14548942058332157,0.20274375801956068,0.16670616610267677,0.4440733427422391,0.32607996737011047,0.16981604266840228,0.24061480248061576,0.3053690041032291,1.0,0.2779969637057158,0.23768221158504088,0.21888020164216537,0.022989944606977564,0.23632863564094225,0.2355663085143519,0.19222189396334344,0.35108225811894295,0.28130115168833203,0.29125193075178657,0.28601505022708457,0.08910324150420239,0.19743011012896702,0.16020701257277198,0.2627270429617294,0.11556654916935123,0.17473981876207395,0.1680533656443406,0.08100822697981976,0.3347694009201034,0.24581295747121917
L&T,0.4831355843659321,0.5139780729225477,0.2358918121642108,0.2230895228708915,0.35208340479086125,0.17577668313530426,0.37891260628197343,0.3989930267314691,0.5914023959317504,0.3239518613479822,0.46883332351804496,0.1586435219870468,0.48889491387469075,0.1251106020415336,0.33728624218988934,0.3539065349785146,0.22497102833922902,0.34548600409519326,0.2580634934366813,0.20070680886363249,0.33080568491271245,0.02498700563957291,0.4187118777837459,0.42209193657377303,0.23420904607916299,0.24946821375128186,0.49248533634181135,0.2779969637057158,1.0,0.3589548797325221,0.3343981348545791,0.0040793697040426855,0.5356131287770933,0.5422872840692313,0.44874889972246884,0.534829717509898,0.5009067352619967,0.33066156530406826,0.4573484060386689,0.16722353125272052,0.16809014530173472,0.35299865485477777,0.4838498453703541,0.21706853779802135,0.21032478883279282,0.23190110413179219,0.18529435486277807,0.47317943153087627,0.3199062007599437
M&M,0.30453819797575615,0.3193956522917108,0.2510567549672219,0.14008580163865902,0.23556185449493444,0.27167463176762363,0.2679496818746724,0.33767975654363414,0.36953275268876495,0.2919706728486835,0.2805506778486964,0.17427852713315525,0.29033376750078466,0.22760269670494937,0.3555160910239051,0.308178075869659,0.1981167273687454,0.33108446398285146,0.21134754329235445,0.3608741122585558,0.297220250377757,0.13020279394420212,0.3153253720449536,0.3521668252593311,0.23402737670257365,0.19625279516772007,0.4181385997538942,0.23768221158504088,0.3589548797325221,1.0,0.3991324302587442,-0.03379892349654035,0.3301622515098169,0.2865947766962982,0.29607565638740513,0.3006435299527359,0.32089988007860243,0.19973619913113488,0.36494543592103,0.2856178958534496,0.16960620104645205,0.4009985513080248,0.4274323926599041,0.174315289200588,0.21945026044483915,0.2852778383966365,0.24907916202171776,0.4186653164861594,0.2999949298392139
MARUTI SUZUKI,0.3156591345806738,0.30234458552790044,0.19406696421320505,0.260358757191587,0.26037304593619087,0.3420053796028517,0.28124064065120896,0.3292762451225681,0.22464655617903,0.34807862932079076,0.2887839381067879,0.07939220185023431,0.2801764323872403,0.13839337961081433,0.3885928774602024,0.2957750282000123,0.21403253028427258,0.23815099509457058,0.24993297424384944,0.2941164528509454,0.28618881588977335,0.1480396382304936,0.23161544990412153,0.3047918283239354,0.12260039205713129,0.2505914205538365,0.3703474715013141,0.21888020164216537,0.3343981348545791,0.3991324302587442,1.0,-0.07370802736488703,0.29715383273362866,0.28775940077166295,0.2875843774806116,0.3511554719730654,0.28760823037275945,0.29536278485456074,0.2911512398224228,0.20087653031692312,0.2078184426874843,0.40583327366903343,0.3958291320147273,0.1648953862324835,0.14797875020961007,0.33227999392948754,0.18332487483227008,0.3491763593867455,0.20521000680488077
NESTLE,-0.015671354517557506,-0.05194135034238021,0.03537510011818829,-0.04772282347399936,-0.030773591868202346,-0.10137424660774319,0.013333516651850152,-0.0016148849465844938,-0.06919584532733018,-0.056122700003248656,-0.0822456330082839,-0.005801853273731338,-0.09332658205197286,-0.03178511107638309,-0.044161076185979094,-0.07589099510250208,0.07761187456037826,0.02896796008742471,0.02812316934838477,-0.09936496513143404,-0.08122453774355283,-0.008354242551711735,-0.013961861085349813,-0.10342640854145585,0.05686135519188142,0.0007734908332989788,0.009317404881764003,0.022989944606977564,0.0040793697040426855,-0.03379892349654035,-0.07370802736488703,1.0,-0.04723653219186032,-0.08282050725627398,-0.06616721809874752,-0.09799007252311989,-0.02421015240877477,-0.04202092818344999,-0.024231294807593114,-0.012486408764944468,-0.08986664486099043,-0.121889890484222,-0.06495178985363192,0.013325169343601555,0.057792161667294915,-0.04126460956586418,-0.09763489343883117,-0.026144724015274165,0.06158891238158522
